Gate_voltage,Temperature,riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,E_on,E_off,Vge_max,HealthState
12,100,5.2e-07,1.5e-07,11.9413374727011,458944526.518311,76523294.0134229,1.5e-06,0.0118499283116762,0.064128355089551,0.0076356731464275,12.6772754649597,Fault
12,110,6.1e-07,9e-08,11.9768914063248,467281644.493205,127085734.351045,5.7e-07,0.0188414642298653,0.0609195232065439,0.0026994920891638,12.7606291293279,Warning
12,110,6.1e-07,1.2e-07,11.9727237181657,462794466.667608,99931227.6411354,8.10000000000001e-07,0.0170047414469536,0.0614082519397897,0.0039726656937862,12.74269103782,Warning
12,110,5.4e-07,1.5e-07,11.9413705208391,458944521.284577,77230580.1905034,1.5e-06,0.0120607969502089,0.0638102054434262,0.0078843579198644,12.6842885595434,Fault
12,130,6.3e-07,9e-08,11.9770042364971,467281656.073359,130960655.040709,5.7e-07,0.0195197315601376,0.0599454202432519,0.0028775270664852,12.7543248540555,Fault
12,130,6.3e-07,1.1e-07,11.9728507332559,462794836.600985,103637609.261375,8.10000000000001e-07,0.0176495431470016,0.0602146498696465,0.0042373243994145,12.7436300911172,Fault
12,130,5.7e-07,1.4e-07,11.9414673550759,458944538.285271,78634136.3804793,1.5e-06,0.0125195781614025,0.0626327496889816,0.0084521741783604,12.6949993572514,Fault
12,140,6.4e-07,9e-08,11.9770884559978,467281626.086408,132978241.210264,5.8e-07,0.0198898060683064,0.0591895751624725,0.0029765204958726,12.7555360941762,Fault
12,140,6.5e-07,1.1e-07,11.97291798268,462794836.526475,105605596.021942,8.10000000000001e-07,0.0180005897599926,0.0593156104930244,0.0043858777335991,12.7452768005438,Fault
12,140,5.9e-07,1.4e-07,11.9415252165438,458944501.786802,79330715.1020823,1.5e-06,0.0127665023318855,0.0616994234059921,0.0087808254224551,12.6982823128805,Fault
12,150,6.5e-07,9e-08,11.977131032029,467281693.839393,135022453.987849,5.7e-07,0.0202810411387304,0.0584225060845776,0.0028835114447217,12.7481806883376,Fault
12,150,6.6e-07,1.1e-07,11.9727378237299,462794836.472787,107629652.292066,8.10000000000001e-07,0.0183687376300554,0.0581784741271243,0.0045455011066574,12.7439567652055,Fault
12,150,6.1e-07,1.4e-07,11.9414302207446,458944528.678241,80022479.6509211,1.5e-06,0.013027957096881,0.0604910157959835,0.009143388824083,12.7042739143459,Fault
12,20,5.1e-07,1e-07,11.9770279885943,467281655.798179,111956295.17575,5.7e-07,0.0164734188429634,0.0604816469425264,0.0021206690820557,12.7570295791867,Healthy
12,20,4.8e-07,1.3e-07,11.9727601571893,462794836.81284,86121804.2321007,8.10000000000001e-07,0.0147878218425603,0.0612780876257407,0.0031185088224885,12.7090239654266,Warning
12,20,4.1e-07,1.5e-07,11.9457337584541,458944521.20224,70907322.0526955,1.5e-06,0.0105001636484872,0.0630216503132494,0.0061406730988308,12.6167722619702,Fault
12,30,5.2e-07,1e-07,11.9770975894875,467281649.571957,113480831.776162,5.7e-07,0.0166940852575976,0.0607589762800661,0.0021722980942008,12.7567483949407,Healthy
12,30,5e-07,1.2e-07,11.9728338867781,462794466.142277,87470009.4018696,8.10000000000001e-07,0.0149985949450411,0.0615533215999325,0.0031943951781209,12.7180029379668,Warning
12,30,4.2e-07,1.5e-07,11.945748072812,458944524.319758,71595748.9394506,1.5e-06,0.0106410698046489,0.0633905471811165,0.0062923657203506,12.628257102326,Fault
12,40,5.3e-07,9e-08,11.9771596856787,467281680.028508,115018160.437617,5.7e-07,0.0169207550224542,0.0609935465236177,0.0022256604375202,12.763114455487,Healthy
12,40,5.1e-07,1.2e-07,11.9728448266021,462794835.638608,88840063.598088,8.10000000000001e-07,0.0152024361475469,0.0617836037682178,0.0032730279651806,12.717516631054,Warning
12,40,4.3e-07,1.5e-07,11.9457727782775,458944540.880132,72280727.1781427,1.5e-06,0.0107878141727724,0.0637091350411503,0.0064501335132862,12.6298966533167,Fault
12,50,5.5e-07,9e-08,11.9772373502717,467281650.494191,116621702.384479,5.7e-07,0.0171607513397589,0.0611886715721289,0.0022828710183902,12.7668937951991,Healthy
12,50,5.2e-07,1.2e-07,11.9728748512549,462794465.752417,90278301.6765616,8.10000000000001e-07,0.0154262320205021,0.0619646221398466,0.0033572937400088,12.7225340127898,Warning
12,50,4.5e-07,1.6e-07,11.9414369879345,458944541.713296,72979359.8608904,1.5e-06,0.0109440012869868,0.0639796971664185,0.0066194792157657,12.6452043381695,Fault
12,60,5.5e-07,9e-08,11.9773039549008,467281628.839913,118245060.316108,5.7e-07,0.0174082940894209,0.0613296297880524,0.0023422926337532,12.7617552895888,Healthy
12,60,5.3e-07,1.2e-07,11.9727055712745,462794465.930955,91743976.0477307,8.10000000000001e-07,0.0156572598010598,0.0620851243587286,0.0034449138467158,12.7259545910149,Warning
12,60,4.6e-07,1.5e-07,11.9414650248241,458944520.695255,73676862.1887808,1.5e-06,0.0111055005465914,0.0641845420423382,0.0067964277951473,12.6506617167363,Fault
12,70,5.6e-07,9e-08,11.9770624684327,467281671.267302,119913447.052137,5.7e-07,0.0176668912380933,0.0614136383358482,0.0024051997028557,12.7621069536009,Healthy
12,70,5.5e-07,1.2e-07,11.9726308478494,462794466.778069,93261326.7094183,8.10000000000001e-07,0.0158983990425554,0.0621401686478796,0.0035378004680944,12.7345367014105,Warning
12,70,4.8e-07,1.5e-07,11.9415324813106,458944535.40817,74386113.9835035,1.5e-06,0.0112724611539647,0.0643163512455572,0.0069848965283803,12.6614359507122,Fault
12,80,5.8e-07,9e-08,11.9769316387809,467281681.844389,121646569.250981,5.7e-07,0.0179416372515107,0.0614272789293956,0.0024726901613155,12.7668343000333,Warning
12,80,5.6e-07,1.2e-07,11.9726192979092,462794466.678498,94852878.7083372,8.10000000000001e-07,0.0161569635507135,0.0621129501039872,0.0036372177507366,12.733061052768,Warning
12,80,4.9e-07,1.5e-07,11.941456707539,458944522.746413,75096962.2360804,1.5e-06,0.0114593306722099,0.064362639764211,0.0071879016057119,12.6665668487774,Fault
12,90,5.9e-07,9e-08,11.9768787755497,467281650.791954,123405659.627666,5.7e-07,0.0182287383903486,0.061359733396829,0.0025434172575692,12.7627797085242,Warning
12,90,5.8e-07,1.2e-07,11.9726486864638,462794835.84483,96478503.6852424,8.10000000000001e-07,0.0164244817058261,0.0619932895382895,0.0037415773650721,12.7368067428037,Warning
12,90,5.1e-07,1.5e-07,11.9413474048791,458944521.467786,75802509.5530656,1.5e-06,0.0116510665087048,0.0643070089436525,0.0074024759290488,12.6747263629674,Fault
15,100,8.9e-07,6e-08,11.010843855816,584095919.319797,217578236.870265,6.5e-07,0.0264254792138559,0.0084750551775104,0.0079113295393655,15.9005724223782,Warning
15,100,9.8e-07,7e-08,10.9439954757303,578490817.598382,173147894.376425,9.3e-07,0.0233675800091078,0.0093123359055081,0.0119428818910543,15.9132167502907,Warning
15,100,1.04e-06,8e-08,10.8875043611066,573678793.147287,133283829.96806,1.69e-06,0.0156764630534667,0.0106011108007751,0.023524829625966,15.9421319105763,Fault
15,110,8.7e-07,6e-08,11.0108436376915,584095897.490772,220264825.645156,6.5e-07,0.0264120430107937,0.0087250073316971,0.0076535364449054,15.8501984754968,Warning
15,110,9.5e-07,7e-08,10.9439954820846,578490817.459941,175706657.501142,9.20000000000001e-07,0.023345930327423,0.0095475597877812,0.011741687198901,15.8647076238412,Warning
15,110,1.01e-06,8e-08,10.8875043622054,573678793.061749,135557374.835536,1.69e-06,0.0156225091308215,0.010755690657354,0.0234753448203131,15.8923519228436,Fault
15,120,8.4e-07,6e-08,11.0108441544036,584095949.157433,223042551.224302,6.50000000000001e-07,0.0264039425382521,0.0084407566884614,0.007914402913892,15.8016884844203,Warning
15,120,9.3e-07,7e-08,10.9439954789419,578490817.515293,178374285.516948,9.20000000000001e-07,0.0233286666001504,0.0097279902686178,0.0115552293576273,15.8176790083013,Warning
15,120,9.9e-07,8e-08,10.8875043684021,573678792.781276,137934953.6263,1.7e-06,0.0155659974605555,0.0102575443047193,0.0240728020014377,15.8439499035804,Fault
15,130,8.2e-07,6e-08,11.010843274703,584095861.851867,225804397.70133,6.50000000000001e-07,0.0263943077941349,0.0086915799950408,0.0076516012457268,15.7559023881157,Fault
15,130,9.1e-07,7e-08,10.943995476668,578490817.52257,181082675.438338,9.3e-07,0.0233017641490392,0.0094084889633033,0.011913843441388,15.7729982677404,Fault
15,130,9.7e-07,8e-08,10.8875043361103,573678794.317761,140375186.488944,1.7e-06,0.0155041593584997,0.0103889941708243,0.0240266839476287,15.7978424779896,Fault
15,140,8e-07,5e-08,,584095977.539676,228669930.094261,6.50000000000001e-07,0.0263818771321098,0.0084123809936719,0.0079117575843796,15.7118259082861,Fault
15,140,8.9e-07,7e-08,10.9439954830582,578490817.393759,183895414.463575,9.20000000000001e-07,0.0232757995814836,0.0095903055827017,0.0117268184029579,15.7297055601698,Fault
15,140,9.5e-07,8e-08,10.8875044029132,573678791.145563,142928521.604792,1.69e-06,0.0154492026657636,0.0105228475218734,0.0239994962546438,15.7530534390719,Fault
15,150,7.8e-07,5e-08,,584096117.637147,231534190.907533,6.50000000000001e-07,0.0263705375520544,0.0086621915235292,0.0076489276186708,15.6701492777911,Fault
15,150,8.7e-07,7e-08,10.9439954915048,578490817.220937,186765419.665641,9.3e-07,0.0232515742733881,0.0092508926621768,0.0120957452751375,15.6885117253809,Fault
