riseTime,millerTime,Vge_plateau,max_dVge,max_dIdt,fallTime,Vce_overshoot,Vge_max,Eon_mean,Eoff_mean,Esw_mean,Esw_max,dEsw_dIc,tOn_mean,tOff_mean,tOff_max,t_ratio,Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,HealthState
6.00E-07,9.00E-08,11.97686094,467281666.3,125232419.6,5.70E-07,0.018527418,12.76274103,0.000353127,0.000993102,0.001346229,0.002337526,9.58E-05,2.06E-07,7.12E-07,8.00E-07,3.45631068,1.268557396,1.472893624,2.08977149,3.066992045,6.871487673,10,10,107.0856121,393.1525145,782.534317,1129.680686,1220.531929,1237.855242,122.6022732,290.1114066,7965.904331,1229.664838,Warning
5.90E-07,1.20E-07,11.97270513,462794466.1,98183214.18,8.10E-07,0.016708811,12.74422136,0.000353127,0.000993102,0.001346229,0.002337526,9.58E-05,2.06E-07,7.12E-07,8.00E-07,3.45631068,1.268557396,1.472893624,2.08977149,3.066992045,6.871487673,10,10,107.0856121,393.1525145,782.534317,1129.680686,1220.531929,1237.855242,122.6022732,290.1114066,7965.904331,1229.664838,Warning
5.20E-07,1.50E-07,11.94133747,458944526.5,76523294.01,1.50E-06,0.011849928,12.67727546,0.000353127,0.000993102,0.001346229,0.002337526,9.58E-05,2.06E-07,7.12E-07,8.00E-07,3.45631068,1.268557396,1.472893624,2.08977149,3.066992045,6.871487673,10,10,107.0856121,393.1525145,782.534317,1129.680686,1220.531929,1237.855242,122.6022732,290.1114066,7965.904331,1229.664838,Warning
6.10E-07,9.00E-08,11.97689141,467281644.5,127085734.4,5.70E-07,0.018841464,12.76062913,0.000358664,0.000994049,0.001352713,0.002361726,9.66E-05,2.10E-07,7.18E-07,8.30E-07,3.419047619,1.278987013,1.487178394,2.115407668,3.110943429,6.962886872,10,10,103.2621474,383.8448928,768.5334968,1118.711325,1221.627838,1239.265086,122.7426376,284.8859974,7907.571194,1230.925727,Warning
6.10E-07,1.20E-07,11.97272372,462794466.7,99931227.64,8.10E-07,0.017004741,12.74269104,0.000358664,0.000994049,0.001352713,0.002361726,9.66E-05,2.10E-07,7.18E-07,8.30E-07,3.419047619,1.278987013,1.487178394,2.115407668,3.110943429,6.962886872,10,10,103.2621474,383.8448928,768.5334968,1118.711325,1221.627838,1239.265086,122.7426376,284.8859974,7907.571194,1230.925727,Warning
5.40E-07,1.50E-07,11.94137052,458944521.3,77230580.19,1.50E-06,0.012060797,12.68428856,0.000358664,0.000994049,0.001352713,0.002361726,9.66E-05,2.10E-07,7.18E-07,8.30E-07,3.419047619,1.278987013,1.487178394,2.115407668,3.110943429,6.962886872,10,10,103.2621474,383.8448928,768.5334968,1118.711325,1221.627838,1239.265086,122.7426376,284.8859974,7907.571194,1230.925727,Warning
6.30E-07,9.00E-08,11.97700424,467281656.1,130960655,5.70E-07,0.019519732,12.75432485,0.000368228,0.001002981,0.001371209,0.002390663,9.81E-05,2.14E-07,7.38E-07,8.90E-07,3.448598131,1.300327328,1.515345875,2.167056398,3.200005338,7.160809726,10,10,96.1017991,365.993106,741.2341264,1095.409763,1222.974435,1241.209475,122.9366308,274.7043767,7785.512757,1232.586401,Fault
6.30E-07,1.10E-07,11.97285073,462794836.6,103637609.3,8.10E-07,0.017649543,12.74363009,0.000368228,0.001002981,0.001371209,0.002390663,9.81E-05,2.14E-07,7.38E-07,8.90E-07,3.448598131,1.300327328,1.515345875,2.167056398,3.200005338,7.160809726,10,10,96.1017991,365.993106,741.2341264,1095.409763,1222.974435,1241.209475,122.9366308,274.7043767,7785.512757,1232.586401,Fault
5.70E-07,1.40E-07,11.94146736,458944538.3,78634136.38,1.50E-06,0.012519578,12.69499936,0.000368228,0.001002981,0.001371209,0.002390663,9.81E-05,2.14E-07,7.38E-07,8.90E-07,3.448598131,1.300327328,1.515345875,2.167056398,3.200005338,7.160809726,10,10,96.1017991,365.993106,741.2341264,1095.409763,1222.974435,1241.209475,122.9366308,274.7043767,7785.512757,1232.586401,Fault
6.40E-07,9.00E-08,11.97708846,467281626.1,132978241.2,5.80E-07,0.019889806,12.75553609,0.000375077,0.001002667,0.001377745,0.002407318,9.86E-05,2.24E-07,7.42E-07,9.10E-07,3.3125,1.309728766,1.529237097,2.193088953,3.245253584,7.265833178,10,10,92.75402353,357.4333483,727.9441513,1083.252626,1223.259758,1241.779083,122.9937322,269.7293001,7722.080924,1233.021049,Fault
